                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89974,                  2.113,                 3.2693,                 1.1563,                0.00216,                0.42308,                0.11623,                0.09766,                0.00216,                0.42308,                0.11623,                0.09987,                0.72986,                 1.6933,                 3.9637,                 1.1266,                0.00014,                0.00014,                0.00014
                      2,                0.76643,                 1.2704,                  2.214,                 1.0031,                0.00343,                0.67308,                0.32396,                0.28094,                0.00373,                0.73077,                 0.3245,                0.28607,                 0.7313,                 1.2096,                 3.5898,                0.91614,             0.00029703,             0.00029703,             0.00029703
                      3,                 0.7451,                 1.0856,                 1.5586,                0.95189,                      1,                 0.2313,                0.31843,                0.27513,                      1,                 0.2313,                 0.3181,                0.28222,                0.82072,                 1.6054,                 3.6277,                0.98962,             0.00045089,             0.00045089,             0.00045089
                      4,                0.71967,                0.99797,                 1.4218,                0.97384,                      1,                0.27237,                0.31063,                0.27308,                      1,                0.27237,                0.31038,                0.27163,                0.79182,                 1.6107,                 3.6157,                0.93023,             0.00060159,             0.00060159,             0.00060159
                      5,                0.72026,                0.93372,                  1.257,                0.96698,                0.93057,                0.25809,                0.33382,                0.29223,                0.93057,                0.25809,                0.33358,                0.27671,                0.89873,                 2.1628,                 3.5078,                0.97456,             0.00074911,             0.00074911,             0.00074911
                      6,                0.73427,                0.92171,                 1.2567,                0.97159,                0.96007,                0.30769,                0.34283,                0.28595,                0.96007,                0.30769,                0.34298,                0.22602,                0.99848,                 5.2059,                 3.4863,                 1.0619,             0.00089347,             0.00089347,             0.00089347
                      7,                0.77643,                0.95185,                 1.2046,                0.97401,                0.74216,                0.23077,                0.26372,                0.14588,                0.82211,                0.23077,                0.27867,                0.19721,                 1.3293,                 4.5172,                  3.845,                 1.3462,              0.0010347,              0.0010347,              0.0010347
                      8,                0.77441,                  1.023,                 1.1405,                0.98032,                 0.4484,                0.28846,                0.27679,                 0.2196,                 0.4484,                0.28846,                0.28363,                0.20739,                 1.1727,                 3.0613,                 3.1949,                 1.1899,              0.0011727,              0.0011727,              0.0011727
                      9,                0.78996,                0.90502,                 1.0683,                0.99147,                0.55627,                0.23077,                0.21628,                0.12685,                0.46329,                0.19231,                 0.1747,                  0.111,                  1.185,                 4.4253,                 2.9211,                 1.2041,              0.0013075,              0.0013075,              0.0013075
                     10,                0.78161,                0.90528,                 1.0475,                 1.0013,                0.14503,                0.19231,                0.06183,                0.02866,                0.14503,                0.19231,                0.06162,                0.03062,                 1.4205,                 2.1202,                 3.1021,                 1.4072,              0.0014392,              0.0014392,              0.0014392
                     11,                0.78278,                0.86984,                 1.0082,                0.99464,                0.58264,                0.34615,                0.34771,                0.26107,                0.58264,                0.34615,                0.34771,                   0.27,                 1.0878,                 1.8229,                 2.1972,                 1.1937,              0.0015677,              0.0015677,              0.0015677
                     12,                0.80659,                0.87939,                0.97975,                 1.0123,                0.19367,                0.28846,                0.11872,                0.06877,                0.19367,                0.28846,                0.12092,                0.08052,                 1.6481,                 1.9571,                  2.938,                 1.5804,              0.0016931,              0.0016931,              0.0016931
                     13,                0.76698,                0.92895,                0.92822,                0.98424,                0.07146,                0.07692,                 0.0292,                0.01464,                0.07146,                0.07692,                0.02897,                0.01261,                 1.9681,                 7.2116,                  3.386,                 1.9947,              0.0017624,              0.0017624,              0.0017624
